"","INDEX","TEAM_BATTING_H","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_BASERUN_CS","TEAM_BATTING_HBP","TEAM_PITCHING_H","TEAM_PITCHING_HR","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","Flag_TEAM_BATTING_3B_zero","Flag_TEAM_BATTING_HR_zero","H_TO_SO_R","Flag_TEAM_BATTING_SO","Flag_TEAM_BATTING_SO_zero","Flag_TEAM_BATTING_BB_zero","SB_CS_R","Flag_TEAM_BASERUN_SB","Flag_TEAM_BASERUN_SB2","Flag_TEAM_BASERUN_SB_zero","FlagSB","Flag_TEAM_BASERUN_CS","FlagCS","FlagCS1","Flagbat_HBP","FlagPH","FlagPHR","FlagPBB","FlagPBB1","Flag_TEAM_Pitching_strikeouts","FlagPSO","FlagPSO1","FlagE","flag_DP"
"19","22",1390,197,24,143,579,841,65,49,58,2057.5,211,693.5,1092,149,177,"0","0",0.605035971223022,0,"0","0",0.753846153846154,0,0,"0","0",0,"0","0","1","1","0","0","1",0,"0","1","0",0
"20","23",1518,268,26,186,613,760,55,53,58,1518,186,613,760,106,171,"0","0",0.500658761528327,0,"0","0",0.963636363636364,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"21","24",1467,241,22,154,509,835,41,39,58,1467,154,509,1092,154,190,"0","0",0.569188820722563,0,"0","0",0.951219512195122,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"22","25",1363,211,30,150,556,928,80,51,58,1363,150,556,1092,128,170,"0","0",0.680851063829787,0,"0","0",0.6375,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"23","26",1364,215,31,153,648,902,106,51,58,1364,153,648,1092,112,202,"0","0",0.661290322580645,0,"0","0",0.481132075471698,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"24","27",1387,236,36,167,671,860,109,42,58,1387,167,671,1092,107,156,"0","0",0.620043258832012,0,"0","0",0.385321100917431,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"25","28",1406,257,26,172,590,926,125,44,58,1406,172,590,1092,117,162,"0","0",0.658605974395448,0,"0","0",0.352,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"26","29",1458,258,31,124,469,819,86,52,58,1458,124,469,1092,135,175,"0","0",0.561728395061728,0,"0","0",0.604651162790698,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"27","30",1422,208,37,145,429,1011,89,40,58,1422,145,429,1092,96,173,"0","0",0.710970464135021,0,"0","0",0.449438202247191,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"28","31",1448,237,27,147,566,1000,69,43,58,1448,147,566,1092,140,186,"0","0",0.69060773480663,0,"0","0",0.623188405797101,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"29","32",1396,245,29,115,448,928,94,56,58,1396,115,448,1092,102,156,"0","0",0.664756446991404,0,"0","0",0.595744680851064,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"30","33",1306,202,20,88,416,882,160,101,58,1306,88,416,1092,134,172,"0","0",0.675344563552833,0,"0","0",0.63125,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"31","34",1399,259,24,114,564,930,169,100,58,1399,114,564,1092,120,161,"0","0",0.664760543245175,0,"0","0",0.591715976331361,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"32","35",1468,251,23,169,566,1007,92,76,58,2057.5,238,797,1092,107,155,"0","0",0.685967302452316,0,"0","0",0.826086956521739,0,0,"0","0",0,"0","0","1","1","0","0","0",0,"0","1","0",0
"33","36",1553,282,28,208,630,993,65,44,58,1735,232,704,1092,106,134,"0","0",0.639407598197038,0,"0","0",0.676923076923077,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"34","37",1581,258,24,193,530,980,53,39,58,1591,194,533,1092,129,157,"0","0",0.619860847564832,0,"0","0",0.735849056603774,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"35","38",1531,279,25,161,617,953,126,72,58,1531,161,617,1092,126,140,"0","0",0.622468974526453,0,"0","0",0.571428571428571,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"36","39",1530,314,27,147,510,1028,93,45,58,1530,147,510,1092,106,146,"0","0",0.671895424836601,0,"0","0",0.483870967741935,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"37","40",1404,248,22,158,511,1022,71,45,58,1404,158,511,1092,106,156,"0","0",0.727920227920228,0,"0","0",0.633802816901408,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"38","41",1574,309,34,236,608,1024,93,52,47,1574,236,608,1092,134,184,"0","0",0.650571791613723,0,"0","0",0.559139784946237,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"39","42",1447,275,26,158,494,1001,116,52,77,1447,158,494,1092,103,142,"0","0",0.69177608845888,0,"0","0",0.448275862068966,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"40","43",1603,333,32,152,462,805,117,51,74,1603,152,462,805,87,151,"0","0",0.502183406113537,0,"0","0",0.435897435897436,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","0","0",0
"41","44",1473,276,33,150,476,838,129,61,56,1473,150,476,1092,105,138,"0","0",0.568906992532247,0,"0","0",0.472868217054264,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"42","45",1603,272,37,162,450,942,143,46,73,1603,162,450,1092,90,126,"0","0",0.587648159700562,0,"0","0",0.321678321678322,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"43","46",1520,278,30,147,447,848,161,57,29,1520,147,447,1092,87,139,"0","0",0.557894736842105,0,"0","0",0.354037267080745,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"44","48",1353,235,46,159,489,1239,73,38,58,1353,159,489,1092,100,125,"0","0",0.915742793791574,0,"0","0",0.520547945205479,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"45","49",1566,289,46,216,588,1045,137,39,58,1566,216,588,1092,104,129,"0","0",0.667305236270754,0,"0","0",0.284671532846715,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"46","50",1466,282,44,179,535,975,97,44,59,1466,179,535,1092,107,138,"0","0",0.665075034106412,0,"0","0",0.45360824742268,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"47","51",1494,284,35,208,587,1052,71,38,57,1494,208,587,1092,84,148,"0","0",0.704149933065596,0,"0","0",0.535211267605634,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"48","52",1471,283,41,165,643,1016,92,46,50,1471,165,643,1092,89,116,"0","0",0.69068660774983,0,"0","0",0.5,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"49","53",1467,303,47,152,531,1006,76,38,45,1467,152,531,1092,107,132,"0","0",0.685753237900477,0,"0","0",0.5,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"50","54",1401,295,38,135,441,1022,53,32,35,1401,135,441,1092,139,144,"0","0",0.729478943611706,0,"0","0",0.60377358490566,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"51","55",1419,291,27,191,606,1094,67,26,55,1419,191,606,1092,94,159,"0","0",0.770965468639887,0,"0","0",0.388059701492537,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"52","56",1506,331,38,160,504,965,76,30,67,1506,160,504,1092,104,172,"0","0",0.640770252324037,0,"0","0",0.394736842105263,0,0,"0","0",0,"0","0","0","0","0","0","0",0,"0","1","0",0
"53","57",1774,217,96,19,74,99,50.4,20.5555555555556,58,2057.5,52,417.5,272,542,88,"0","0",0.0558060879368658,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","1","0",0,"0","0","1",0
"54","58",1673,222,56,21,134,227,48.6,25.5555555555556,58,2057.5,49,310,525,542,97,"0","0",0.135684399282726,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","1",0
"55","59",1890,246,100,11,176,327,54,23.8888888888889,58,2057.5,30,475,1092,542,97,"0","0",0.173015873015873,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",0
"56","61",1703,266,98,39,174,428,70.2,27.2222222222222,58,2057.5,75,336,1092,542,112,"0","0",0.251321197886083,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",0
"57","62",1502,258,79,39,203,426,106.2,59.4444444444444,58,2057.5,75,392,1092,542,104,"0","0",0.283621837549933,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",0
"58","64",1587,220,96,29,258,471,97.2,44.4444444444444,58,2057.5,56,498,1092,542,71,"0","0",0.296786389413989,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",0
"59","65",1670,345,142,56,203,699,64.8,22.2222222222222,58,2057.5,93,336,1092,542,149,"0","0",0.418562874251497,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",1
"60","66",1551,261,88,53,302,963,48.6,38.3333333333333,58,2057.5,77,441,1092,542,149,"0","0",0.620889748549323,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",1
"61","67",1323,208,77,32,275,755,61.2,40,58,2057.5,46,398,1092,542,149,"0","0",0.570672713529856,0,"0","0",NA,1,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",1
"62","68",1502,209,82,33,346,744,216,33.3333333333333,58,2057.5,46,479,1092,542,149,"0","0",0.495339547270306,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","1","1",1
"63","69",1680,248,126,71,455,525,297.25,66.1111111111111,58,2057.5,95,609,703,542,149,"0","0",0.3125,0,"0","0",NA,0,0,"0","1",1,"0","0","1","1","0","0","0",0,"0","0","1",1
"64","70",1430,202,108,68,341,633,354,122.777777777778,58,1729,82,412,765,542,149,"0","0",0.442657342657343,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","1",1
"65","71",1583,248,68,53,596,570,297.25,70,58,2057.5,67,754,721,542,149,"0","0",0.360075805432723,0,"0","0",NA,0,0,"0","1",1,"0","0","1","1","0","0","0",0,"0","0","1",1
"66","72",1486,213,76,38,646,627,347,88.3333333333333,58,2057.5,46,787,764,542,149,"0","0",0.421938088829071,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","1",1
"67","73",1484,212,94,63,625,632,339,47.7777777777778,58,1742,74,734,742,420,149,"0","0",0.425876010781671,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",1
"68","75",1705,224,63,82,705,367,305,55.5555555555556,58,2057.5,103,693.5,461,542,149,"0","0",0.21524926686217,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","1",0,"0","0","1",1
"69","76",2035,334,115,126,657,320,296,51.1111111111111,58,2057.5,155,806,393,542,149,"0","0",0.157248157248157,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","1",1
"70","77",1693,244,70,67,618,292,246,36.1111111111111,58,2057.5,83,764,361,542,149,"0","0",0.172474896633196,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","1",1
"71","78",1751,216,92,45,512,339,298,30.5555555555556,58,2057.5,56,633,419,542,149,"0","0",0.193603655054255,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","1",1
"72","79",1932,282,102,55,519,322,286,22.7777777777778,58,2057.5,68,637,395,334,149,"0","0",0.166666666666667,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","0",1
"73","80",1665,207,60,58,440,329,187,44.4444444444444,58,2057.5,63,478,358,325,149,"0","0",0.197597597597598,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","0",1
"74","81",1617,190,96,42,459,287,197,58.8888888888889,58,1723,45,489,306,314,149,"0","0",0.177489177489178,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",1
"75","82",1647,191,80,56,464,326,214,60.5555555555556,58,2057.5,66,545,383,318,101,"0","0",0.197935640558591,0,"0","0",NA,0,0,"0","0",1,"0","0","1","1","0","0","0",0,"0","0","0",0
"76","84",1393,168,46,17,471,569,223,69.4444444444444,58,1647,20,557,673,279,106,"0","0",0.408470926058866,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"77","85",1344,207,55,29,467,761.370789237227,187,47.7777777777778,58,1578,34,548,1092,412,104,"0","0",NA,1,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",1,"0","1","0",0
"78","86",1289,162,53,25,335,705.519368019825,151,49.4444444444444,58,1365,26,355,1092,358,96,"0","0",NA,1,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",1,"0","1","0",0
"79","87",1280,156,55,18,318,725.541575626063,139,38.3333333333333,58,1346,19,335,1092,327,94,"0","0",NA,1,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",1,"0","1","0",0
"80","88",1196,146,46,17,382,730.810577627705,100,52.2222222222222,58,1283,18,410,1092,362,109,"0","0",NA,1,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",1,"0","1","0",0
"81","89",1338,155,67,24,452,683.38955961293,129,88.8888888888889,58,1465,26,495,1092,273,140,"0","0",NA,1,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",1,"0","1","0",0
"82","90",1292,144,45,18,436,673.905356009975,141,93.8888888888889,58,1359,19,459,1092,265,95,"0","0",NA,1,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",1,"0","1","0",0
"83","91",1187,131,46,16,424,655.463849004229,143,51.1111111111111,58,1257,17,449,1092,360,107,"0","0",NA,1,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",1,"0","1","0",0
"84","92",1334,183,52,33,380,572,161,36.1111111111111,58,1412,35,402,606,323,145,"0","0",0.428785607196402,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"85","93",1520,267,58,40,594,619,181,29.4444444444444,58,1631,43,637,664,372,118,"0","0",0.407236842105263,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"86","94",1551,240,72,37,481,731,145,70,58,1642,39,509,774,312,137,"0","0",0.471308833010961,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"87","95",1414,205,64,34,524,687,190,51.6666666666667,58,1517,36,562,737,293,88,"0","0",0.485855728429986,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"88","96",1384,226,64,37,532,653,147,39.4444444444444,58,1465,39,563,691,251,151,"0","0",0.471820809248555,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"89","97",1299,246,61,18,585,661,129,104,58,1384,19,623,704,227,123,"0","0",0.508852963818322,0,"0","0",0.806201550387597,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"90","99",1355,179,79,23,452,622,164,51.6666666666667,58,1435,24,479,659,237,129,"0","0",0.459040590405904,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"91","100",1325,140,77,17,457,572,108,64.4444444444444,58,1731,22,597,747,240,116,"0","0",0.431698113207547,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"92","101",1400,165,72,28,414,561,169,65,58,1632,33,483,654,238,129,"0","0",0.400714285714286,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"93","102",1447,179,92,25,410,520,94,104,58,1542,27,437,554,255,133,"0","0",0.359364201796821,0,"0","0",1.1063829787234,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"94","103",1653,221,106,65,399,498,100,106,58,1750,69,422,527,211,129,"0","0",0.301270417422868,0,"0","0",1.06,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"95","104",1435,172,77,34,410,478,71,69,58,1519,36,434,506,228,128,"0","0",0.333101045296167,0,"0","0",0.971830985915493,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"96","105",1531,224,61,34,451,425,60,84,58,1611,36,474,447,242,165,"0","0",0.277596342259961,0,"0","0",1.4,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"97","106",1435,205,55,26,375,478,78,72,58,1519,28,397,506,178,163,"0","0",0.333101045296167,0,"0","0",0.923076923076923,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"98","107",1659,275,74,43,429,402,82,76,58,1757,46,454,426,234,154,"0","0",0.242314647377939,0,"0","0",0.926829268292683,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"99","108",1539,223,66,17,454,371,86,71.6666666666667,58,1640,18,484,395,222,160,"0","0",0.241065627030539,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"100","109",1576,227,64,39,364,382,105,79.4444444444444,58,1658,41,383,402,243,137,"0","0",0.24238578680203,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"101","110",1524,255,43,55,473,399,64,89.4444444444444,58,1614,58,501,422,204,149,"0","0",0.261811023622047,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"102","111",1558,265,81,35,429,454,68,40.5555555555556,58,1639,37,451,478,215,154,"0","0",0.291399229781772,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"103","112",1581,259,82,69,349,418,73,76.1111111111111,58,1663,73,367,440,187,176,"0","0",0.264389626818469,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"104","113",1438,232,62,36,387,452,48,53.8888888888889,58,1513,38,407,475,176,148,"0","0",0.31432545201669,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"105","114",1536,276,56,66,365,522,38,39.4444444444444,58,1616,69,384,549,160,153,"0","0",0.33984375,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"106","115",1389,228,59,57,343,450,26,51.1111111111111,58,1461,60,361,473,137,156,"0","0",0.323974082073434,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"107","116",1566,250,47,89,402,472,32,42.2222222222222,58,1680,95,431,506,181,129,"0","0",0.301404853128991,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"108","117",1478,247,35,79,374,462,21,29.4444444444444,58,1565,84,396,489,209,107,"0","0",0.312584573748309,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"109","118",1525,218,47,70,455,612,24,37.2222222222222,58,1604,74,479,644,199,184,"0","0",0.401311475409836,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"110","119",1348,213,44,67,517,754,48,42.2222222222222,58,1437,71,551,804,167,136,"0","0",0.559347181008902,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"111","121",1497,213,42,60,393,530,44,28,58,1606,64,422,569,194,191,"0","0",0.354041416165665,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"112","122",1456,233,53,63,428,619,51,27,58,1552,67,456,660,195,180,"0","0",0.425137362637363,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"113","124",1331,230,21,74,519,555,54,30,58,1457,81,568,608,152,151,"0","0",0.416979714500376,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"114","125",1284,214,38,41,497,645,59,39,58,1360,43,526,683,188,147,"0","0",0.502336448598131,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"115","126",1366,263,41,83,480,535,39,59,58,1437,87,505,563,191,168,"0","0",0.391654465592972,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"116","127",1549,244,27,108,554,544,87,54,58,1651,115,590,580,206,171,"0","0",0.351194318915429,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"117","128",1458,252,51,47,591,496,64,36,58,1544,50,626,525,179,137,"0","0",0.340192043895748,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"118","129",1519,279,44,89,587,526,61,27,58,1598,94,617,553,161,130,"0","0",0.346280447662936,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"119","130",1544,288,52,101,710,568,46,34,58,1635,107,752,601,151,140,"0","0",0.367875647668394,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"120","131",1447,259,35,108,720,690,29,120,58,1522,114,757,726,157,151,"0","0",0.476848652384243,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"121","132",1484,259,38,156,647,648,75,165.138888888889,58,1561,164,681,682,191,154,"0","0",0.436657681940701,0,"0","0",NA,0,0,"0","0",1,"0","0","1","0","0","0","0",0,"0","0","0",0
"122","133",1457,246,39,137,594,649,84,36,58,1533,144,625,683,153,165,"0","0",0.445435827041867,0,"0","0",0.428571428571429,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"123","134",1285,198,33,116,511,753,61,36,58,1361,123,541,797,162,151,"0","0",0.585992217898833,0,"0","0",0.590163934426229,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"124","136",1467,228,43,146,495,651,57,33,58,1543,154,521,685,122,180,"0","0",0.443762781186094,0,"0","0",0.578947368421053,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"125","137",1449,230,58,191,530,773,44,28,58,1524,201,558,813,160,163,"0","0",0.533471359558316,0,"0","0",0.636363636363636,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"126","139",1545,232,65,209,485,767,37,17,58,1625,220,510,807,126,182,"0","0",0.496440129449838,0,"0","0",0.459459459459459,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
