Column1,INDEX,TARGET_WINS,TEAM_BATTING_H,TEAM_BATTING_2B,TEAM_BATTING_3B,TEAM_BATTING_HR,TEAM_BATTING_BB,TEAM_BATTING_SO,TEAM_BASERUN_SB,TEAM_BASERUN_CS,TEAM_BATTING_HBP,TEAM_PITCHING_H,TEAM_PITCHING_HR,TEAM_PITCHING_BB,TEAM_PITCHING_SO,TEAM_FIELDING_E,TEAM_FIELDING_DP,TEAM_BATTING_1B,log_TEAM_BATTING_1B,log_TEAM_BATTING_3B,log_TEAM_BASERUN_SB,log_TEAM_BASERUN_CS,log_TEAM_BATTING_2B,log_TEAM_BATTING_HR,log_TEAM_PITCHING_HR,log_TEAM_PITCHING_H,log_TEAM_FIELDING_E,sqrt_TEAM_PITCHING_HR,SB_PCT
14,17,76,1281.5,210,23,63,534,812,126,80,58,1265,63,534,812,150,139,985.5,6.893149127,3.135494216,4.836281907,4.382026635,5.347107531,-4.143134726,8.286269453,7.142827401,5.010635294,7.937253933,0.611650485
15,18,74,1380,233,40,131,542,880,159,89,58,1380,131,542,1092,147,137,976,6.883462586,3.688879454,5.068904202,4.48863637,5.451038454,-4.875197323,9.750394646,7.229838778,4.990432587,11.44552314,0.641129032
16,19,87,1417,226,28,108,539,682,86,69,58,1417,108,539,682,136,136,1055,6.961296046,3.33220451,4.454347296,4.234106505,5.420534999,-4.682131227,9.364262454,7.25629724,4.912654886,10.39230485,0.55483871
17,20,88,1563,242,43,164,589,843,100,53,58,1563,164,589,1092,135,172,1114,7.01571242,3.761200116,4.605170186,3.970291914,5.488937726,-5.099866428,10.19973286,7.35436233,4.905274778,12.80624847,0.653594771
18,21,66,1460,239,32,107,546,900,92,64,58,1478,108,553,1092,136,146,1082,6.986566459,3.465735903,4.521788577,4.158883083,5.476463552,-4.672828834,9.364262454,7.298445102,4.912654886,10.39230485,0.58974359
19,22,75,1390,197,24,143,579,841,65,49,58,2057.5,211,693.5,1092,149,177,1026,6.933423026,3.17805383,4.17438727,3.891820298,5.283203729,-4.96284463,10.70371627,7.629246933,5.003946306,14.52583905,0.570175439
20,23,93,1518,268,26,186,613,760,55,53,58,1518,186,613,760,106,171,1038,6.945051064,3.258096538,4.007333185,3.970291914,5.590986981,-5.225746674,10.45149335,7.325148958,4.663439094,13.6381817,0.509259259
21,24,70,1467,241,22,154,509,835,41,39,58,1467,154,509,1092,154,190,1050,6.956545443,3.091042453,3.713572067,3.663561646,5.484796933,-5.036952602,10.0739052,7.290974778,5.036952602,12.40967365,0.5125
22,25,81,1363,211,30,150,556,928,80,51,58,1363,150,556,1092,128,170,972,6.879355804,3.401197382,4.382026635,3.931825633,5.351858133,-5.010635294,10.02127059,7.217443432,4.852030264,12.24744871,0.610687023
23,26,90,1364,215,31,153,648,902,106,51,58,1364,153,648,1092,112,202,965,6.872128101,3.433987204,4.663439094,3.931825633,5.370638028,-5.030437921,10.06087584,7.218176838,4.718498871,12.36931688,0.675159236
24,27,92,1387,236,36,167,671,860,109,42,58,1387,167,671,1092,107,156,948,6.854354502,3.583518938,4.691347882,3.737669618,5.463831805,-5.117993812,10.23598762,7.23489842,4.672828834,12.92284798,0.721854305
25,28,75,1406,257,26,172,590,926,125,44,58,1406,172,590,1092,117,162,951,6.857514063,3.258096538,4.828313737,3.784189634,5.549076085,-5.147494477,10.29498895,7.248504072,4.762173935,13.11487705,0.73964497
26,29,75,1458,258,31,124,469,819,86,52,58,1458,124,469,1092,135,175,1045,6.951772164,3.433987204,4.454347296,3.951243719,5.552959585,-4.820281566,9.640563131,7.284820913,4.905274778,11.13552873,0.623188406
27,30,91,1422,208,37,145,429,1011,89,40,58,1422,145,429,1092,96,173,1032,6.939253946,3.610917913,4.48863637,3.688879454,5.33753808,-4.976733742,9.953467485,7.25981961,4.564348191,12.04159458,0.689922481
28,31,80,1448,237,27,147,566,1000,69,43,58,1448,147,566,1092,140,186,1037,6.944087208,3.295836866,4.234106505,3.761200116,5.468060141,-4.990432587,9.980865174,7.277938573,4.941642423,12.12435565,0.616071429
29,32,81,1396,245,29,115,448,928,94,56,58,1396,115,448,1092,102,156,1007,6.914730893,3.36729583,4.543294782,4.025351691,5.501258211,-4.744932128,9.489864257,7.241366283,4.624972813,10.72380529,0.626666667
30,33,72,1306,202,20,88,416,882,160,101,58,1306,88,416,1092,134,172,996,6.903747258,2.995732274,5.075173815,4.615120517,5.308267697,-4.477336814,8.954673629,7.17472431,4.8978398,9.38083152,0.61302682
31,34,71,1399,259,24,114,564,930,169,100,58,1399,114,564,1092,120,161,1002,6.909753282,3.17805383,5.129898715,4.605170186,5.556828062,-4.736198448,9.472396897,7.243512975,4.787491743,10.67707825,0.628252788
32,35,66,1468,251,23,169,566,1007,92,76,58,2057.5,238,797,1092,107,155,1025,6.932447892,3.135494216,4.521788577,4.33073334,5.525452939,-5.129898715,10.94454135,7.629246933,4.672828834,15.42724862,0.547619048
33,36,87,1553,282,28,208,630,993,65,44,58,1735,232,704,1092,106,134,1035,6.942156706,3.33220451,4.17438727,3.784189634,5.641907071,-5.33753808,10.89347474,7.458762692,4.663439094,15.23154621,0.596330275
34,37,70,1581,258,24,193,530,980,53,39,58,1591,194,533,1092,129,157,1106,7.008505182,3.17805383,3.970291914,3.663561646,5.552959585,-5.262690189,10.53571632,7.372118028,4.859812404,13.92838828,0.576086957
35,38,84,1531,279,25,161,617,953,126,72,58,1531,161,617,1092,126,140,1066,6.971668605,3.218875825,4.836281907,4.276666119,5.631211782,-5.081404365,10.16280873,7.333676396,4.836281907,12.68857754,0.636363636
36,39,85,1530,314,27,147,510,1028,93,45,58,1530,147,510,1092,106,146,1042,6.948897222,3.295836866,4.532599493,3.80666249,5.749392986,-4.990432587,9.980865174,7.333023014,4.663439094,12.12435565,0.673913043
37,40,70,1404,248,22,158,511,1022,71,45,58,1404,158,511,1092,106,156,976,6.883462586,3.091042453,4.262679877,3.80666249,5.513428746,-5.062595033,10.12519007,7.247080585,4.663439094,12.56980509,0.612068966
38,41,82,1574,309,34,236,608,1024,93,52,47,1574,236,608,1092,134,184,995,6.902742737,3.526360525,4.532599493,3.951243719,5.733341277,-5.463831805,10.92766361,7.361375429,4.8978398,15.3622915,0.64137931
39,42,75,1447,275,26,158,494,1001,116,52,77,1447,158,494,1092,103,142,988,6.895682698,3.258096538,4.753590191,3.951243719,5.616771098,-5.062595033,10.12519007,7.277247727,4.634728988,12.56980509,0.69047619
40,43,99,1603,333,32,152,462,805,117,51,74,1603,152,462,805,87,151,1086,6.9902565,3.465735903,4.762173935,3.931825633,5.80814249,-5.023880521,10.04776104,7.379632153,4.465908119,12.32882801,0.696428571
41,44,77,1473,276,33,150,476,838,129,61,56,1473,150,476,1092,105,138,1014,6.921658184,3.496507561,4.859812404,4.110873864,5.620400866,-5.010635294,10.02127059,7.295056416,4.65396035,12.24744871,0.678947368
42,45,92,1603,272,37,162,450,942,143,46,73,1603,162,450,1092,90,126,1132,7.031741259,3.610917913,4.96284463,3.828641396,5.605802066,-5.087596335,10.17519267,7.379632153,4.49980967,12.72792206,0.756613757
43,46,95,1520,278,30,147,447,848,161,57,29,1520,147,447,1092,87,139,1065,6.970730078,3.401197382,5.081404365,4.043051268,5.627621114,-4.990432587,9.980865174,7.326465614,4.465908119,12.12435565,0.73853211
44,48,65,1353,235,46,159,489,1239,73,38,58,1353,159,489,1092,100,125,913,6.816735881,3.828641396,4.290459441,3.63758616,5.459585514,-5.068904202,10.1378084,7.210079628,4.605170186,12.60952021,0.657657658
45,49,100,1566,289,46,216,588,1045,137,39,58,1566,216,588,1092,104,129,1015,6.922643891,3.828641396,4.919980926,3.663561646,5.666426688,-5.375278408,10.75055682,7.356279877,4.644390899,14.69693846,0.778409091
46,50,85,1466,282,44,179,535,975,97,44,59,1466,179,535,1092,107,138,961,6.867974409,3.784189634,4.574710979,3.784189634,5.641907071,-5.187385806,10.37477161,7.290292882,4.672828834,13.37908816,0.687943262
47,51,92,1494,284,35,208,587,1052,71,38,57,1494,208,587,1092,84,148,967,6.874198495,3.555348061,4.262679877,3.63758616,5.648974238,-5.33753808,10.67507616,7.309212366,4.430816799,14.4222051,0.651376147
48,52,98,1471,283,41,165,643,1016,92,46,50,1471,165,643,1092,89,116,982,6.889591308,3.713572067,4.521788577,3.828641396,5.645446898,-5.105945474,10.21189095,7.293697721,4.48863637,12.84523258,0.666666667
49,53,84,1467,303,47,152,531,1006,76,38,45,1467,152,531,1092,107,132,965,6.872128101,3.850147602,4.33073334,3.63758616,5.713732806,-5.023880521,10.04776104,7.290974778,4.672828834,12.32882801,0.666666667
50,54,51,1401,295,38,135,441,1022,53,32,35,1401,135,441,1092,139,144,933,6.838405201,3.63758616,3.970291914,3.465735903,5.686975356,-4.905274778,9.810549557,7.244941546,4.934473933,11.61895004,0.623529412
51,55,77,1419,291,27,191,606,1094,67,26,55,1419,191,606,1092,94,159,910,6.8134446,3.295836866,4.204692619,3.258096538,5.673323267,-5.252273428,10.50454686,7.257707677,4.543294782,13.82027496,0.720430108
52,56,76,1506,331,38,160,504,965,76,30,67,1506,160,504,1092,104,172,977,6.884486652,3.63758616,4.33073334,3.401197382,5.802118375,-5.075173815,10.15034763,7.317212408,4.644390899,12.64911064,0.716981132
53,57,38,1774,217,96,19,74,99,50.4,20.55555556,58,2057.5,52,417.5,272,500,88,1442,7.273786318,4.564348191,3.919991175,3.023131248,5.379897354,-2.944438979,7.902487437,7.629246933,6.295266001,7.211102551,0.71030379
54,58,90,1673,222,56,21,134,227,48.6,25.55555556,58,2057.5,49,310,525,500,97,1374,7.225481473,4.025351691,3.883623531,3.240854732,5.402677382,-3.044522438,7.783640596,7.629246933,6.295266001,7,0.655379083
55,59,113,1695.25,246,100,11,176,327,54,23.88888889,58,2057.5,30,475,1092,500,97,1338.25,7.199118069,4.605170186,3.988984047,3.173413451,5.505331536,-2.397895273,6.802394763,7.629246933,6.295266001,5.477225575,0.693295292
56,61,104,1703,266,98,39,174,428,70.2,27.22222222,58,2057.5,75,336,1092,500,112,1300,7.170119543,4.584967479,4.251348311,3.304033633,5.583496309,-3.663561646,8.634976227,7.629246933,6.295266001,8.660254038,0.720574818
57,62,77,1502,258,79,39,203,426,106.2,59.44444444,58,2057.5,75,392,1092,500,104,1126,7.026426809,4.369447852,4.665324109,4.08504217,5.552959585,-3.663561646,8.634976227,7.629246933,6.295266001,8.660254038,0.641132278
58,64,87,1587,220,96,29,258,471,97.2,44.44444444,58,2057.5,56,498,1092,500,71,1242,7.124478262,4.564348191,4.576770711,3.79423997,5.393627546,-3.36729583,8.050703381,7.629246933,6.295266001,7.483314774,0.68622529
59,65,104,1670,345,142,56,203,699,64.8,22.22222222,58,2057.5,93,336,1092,500,149,1127,7.027314514,4.955827058,4.171305603,3.101092789,5.843544417,-4.025351691,9.065198986,7.629246933,6.295266001,9.643650761,0.744637385
60,66,107,1551,261,88,53,302,963,48.6,38.33333333,58,2057.5,77,441,1092,500,149,1149,7.046647278,4.477336814,3.883623531,3.64631984,5.564520407,-3.970291914,8.687610844,7.629246933,6.295266001,8.774964387,0.55904908
61,67,67,1323,208,77,32,275,755,61.2,40,58,2057.5,46,398,1092,500,149,1006,6.913737351,4.343805422,4.11414719,3.688879454,5.33753808,-3.465735903,7.657282793,7.629246933,6.295266001,6.782329983,0.604743083
62,68,78,1502,209,82,33,346,744,216,33.33333333,58,2057.5,46,479,1092,500,149,1178,7.071573364,4.406719247,5.375278408,3.506557897,5.342334252,-3.496507561,7.657282793,7.629246933,6.295266001,6.782329983,0.86631016
63,69,82,1680,248,126,71,455,525,297.25,66.11111111,58,2057.5,95,609,703,500,149,1235,7.118826249,4.836281907,5.694573536,4.191336828,5.513428746,-4.262679877,9.107753783,7.629246933,6.295266001,9.746794345,0.818056723
64,70,85,1430,202,108,68,341,633,354,122.7777778,58,1729,82,412,765,500,149,1052,6.958448393,4.682131227,5.869296913,4.810376037,5.308267697,-4.219507705,8.813438495,7.455298486,6.295266001,9.055385138,0.742484269
65,71,105,1583,248,68,53,596,570,297.25,70,58,2057.5,67,754,721,500,149,1214,7.101675972,4.219507705,5.694573536,4.248495242,5.513428746,-3.970291914,8.409385239,7.629246933,6.295266001,8.185352772,0.809394146
66,72,93,1486,213,76,38,646,627,347,88.33333333,58,2057.5,46,787,764,500,149,1159,7.055312843,4.33073334,5.84932478,4.481117537,5.361292166,-3.63758616,7.657282793,7.629246933,6.295266001,6.782329983,0.797090352
67,73,102,1484,212,94,63,625,632,339,47.77777778,58,1742,74,734,742,420,149,1115,7.016609684,4.543294782,5.826000107,3.866560631,5.356586275,-4.143134726,8.608130186,7.462789157,6.040254711,8.602325267,0.876472278
68,75,108,1705,224,63,82,705,367,305,55.55555556,58,2057.5,103,693.5,461,500,149,1336,7.197435354,4.143134726,5.720311777,4.017383521,5.411646052,-4.406719247,9.269457976,7.629246933,6.295266001,10.14889157,0.845916795
69,76,102,1695.25,334,115,126,657,320,296,51.11111111,58,2057.5,155,806,393,500,149,1120.25,7.021307154,4.744932128,5.690359454,3.934001912,5.811140993,-4.836281907,10.08685023,7.629246933,6.295266001,12.4498996,0.852752881
70,77,88,1693,244,70,67,618,292,246,36.11111111,58,2057.5,83,764,361,500,149,1312,7.17930797,4.248495242,5.505331536,3.586600605,5.497168225,-4.204692619,8.837681216,7.629246933,6.295266001,9.110433579,0.871996849
71,78,92,1751,216,92,45,512,339,298,30.55555556,58,2057.5,56,633,419,500,149,1398,7.242797923,4.521788577,5.697093487,3.41954652,5.375278408,-3.80666249,8.050703381,7.629246933,6.295266001,7.483314774,0.907000338
72,79,114,1695.25,282,102,55,519,322,286,22.77777778,58,2057.5,68,637,395,334,149,1256.25,7.135886372,4.624972813,5.655991811,3.125785402,5.641907071,-4.007333185,8.43901541,7.629246933,5.811140993,8.246211251,0.926232458
73,80,111,1665,207,60,58,440,329,187,44.44444444,58,2057.5,63,478,358,325,149,1340,7.200424893,4.094344562,5.231108617,3.79423997,5.332718793,-4.060443011,8.286269453,7.629246933,5.783825182,7.937253933,0.807969275
74,81,101,1617,190,96,42,459,287,197,58.88888889,58,1723,45,489,306,314,149,1289,7.161622003,4.564348191,5.283203729,4.075652429,5.247024072,-3.737669618,7.61332498,7.451822237,5.749392986,6.708203932,0.769865393
75,82,77,1647,191,80,56,464,326,214,60.55555556,58,2057.5,66,545,383,318,101,1320,7.185387016,4.382026635,5.365976015,4.103561217,5.252273428,-4.025351691,8.379309484,7.629246933,5.762051383,8.124038405,0.779441522
76,84,86,1393,168,46,17,471,569,223,69.44444444,58,1647,20,557,673,279,106,1162,7.057897937,3.828641396,5.407171771,4.240527072,5.123963979,-2.833213344,5.991464547,7.40671073,5.631211782,4.472135955,0.762537994
77,85,68,1344,207,55,29,467,760.6017911,187,47.77777778,58,1578,34,548,1092,412,104,1053,6.959398512,4.007333185,5.231108617,3.866560631,5.332718793,-3.36729583,7.052721049,7.363913501,6.021023349,5.830951895,0.79649787
78,86,58,1281.5,162,53,25,335,704.8067808,151,49.44444444,58,1365,26,355,1092,358,96,1041.5,6.948417261,3.970291914,5.017279837,3.900849705,5.087596335,-3.218875825,6.516193076,7.218909708,5.880532986,5.099019514,0.753325942
79,87,54,1281.5,156,55,18,318,724.8087656,139,38.33333333,58,1346,19,335,1092,327,94,1052.5,6.958923566,4.007333185,4.934473933,3.64631984,5.049856007,-2.890371758,5.888877958,7.20489251,5.789960171,4.358898944,0.783834586
80,88,53,1281.5,146,46,17,382,730.0724458,100,52.22222222,58,1283,18,410,1092,362,109,1072.5,6.977747651,3.828641396,4.605170186,3.955508117,4.983606622,-2.833213344,5.780743516,7.156956365,5.891644212,4.242640687,0.656934307
81,89,63,1338,155,67,24,452,674.5406195,129,88.88888889,58,1465,26,495,1092,273,140,1092,6.995766156,4.204692619,4.859812404,4.48738715,5.043425117,-3.17805383,6.516193076,7.289610521,5.609471795,5.099019514,0.592044875
82,90,66,1281.5,144,45,18,436,674.5406195,141,93.88888889,58,1359,19,459,1092,265,95,1074.5,6.979610716,3.80666249,4.94875989,4.54211205,4.9698133,-2.890371758,5.888877958,7.214504414,5.579729826,4.358898944,0.600283822
83,91,48,1281.5,131,46,16,424,674.5406195,143,51.11111111,58,1257,17,449,1092,360,107,1088.5,6.992555881,3.828641396,4.96284463,3.934001912,4.875197323,-2.772588722,5.666426688,7.136483209,5.886104031,4.123105626,0.736691471
84,92,56,1334,183,52,33,380,572,161,36.11111111,58,1412,35,402,606,323,145,1066,6.971668605,3.951243719,5.081404365,3.586600605,5.209486153,-3.496507561,7.110696123,7.252762418,5.777652323,5.916079783,0.816798196
85,93,47,1520,267,58,40,594,619,181,29.44444444,58,1631,43,637,664,372,118,1155,7.051855623,4.060443011,5.198497031,3.382505249,5.587248658,-3.688879454,7.522400231,7.396948603,5.918893854,6.557438524,0.860084477
86,94,55,1551,240,72,37,481,731,145,70,58,1642,39,509,774,312,137,1202,7.091742115,4.276666119,4.976733742,4.248495242,5.480638923,-3.610917913,7.327123292,7.40367029,5.743003188,6.244997998,0.674418605
87,95,74,1414,205,64,34,524,687,190,51.66666667,58,1517,36,562,737,293,88,1111,7.01301579,4.158883083,5.247024072,3.944812828,5.323009979,-3.526360525,7.167037877,7.324489979,5.680172609,6,0.786206897
88,96,100,1384,226,64,37,532,653,147,39.44444444,58,1465,39,563,691,251,151,1057,6.963189986,4.158883083,4.990432587,3.674893212,5.420534999,-3.610917913,7.327123292,7.289610521,5.525452939,6.244997998,0.788438617
89,97,88,1281.5,246,61,18,585,661,129,104,58,1384,19,623,704,227,123,956.5,6.863280789,4.110873864,4.859812404,4.644390899,5.505331536,-2.890371758,5.888877958,7.232733136,5.424950017,4.358898944,0.553648069
90,99,76,1355,179,79,23,452,622,164,51.66666667,58,1435,24,479,659,237,129,1074,6.979145275,4.369447852,5.099866428,3.944812828,5.187385806,-3.135494216,6.356107661,7.268920128,5.468060141,4.898979486,0.760432767
91,100,69,1325,140,77,17,457,572,108,64.44444444,58,1731,22,597,747,240,116,1091,6.994849986,4.343805422,4.682131227,4.165803526,4.941642423,-2.833213344,6.182084907,7.456454555,5.480638923,4.69041576,0.62628866
92,101,66,1400,165,72,28,414,561,169,65,58,1632,33,483,654,238,129,1135,7.03438793,4.276666119,5.129898715,4.17438727,5.105945474,-3.33220451,6.993015123,7.397561536,5.472270674,5.744562647,0.722222222
93,102,66,1447,179,92,25,410,520,94,104,58,1542,27,437,554,255,133,1151,7.048386409,4.521788577,4.543294782,4.644390899,5.187385806,-3.218875825,6.591673732,7.340835554,5.541263545,5.196152423,0.474747475
94,103,84,1653,221,106,65,399,498,100,106,58,1750,69,422,527,211,129,1261,7.139660336,4.663439094,4.605170186,4.663439094,5.398162702,-4.17438727,8.468213009,7.467371067,5.351858133,8.306623863,0.485436893
95,104,56,1435,172,77,34,410,478,71,69,58,1519,36,434,506,228,128,1152,7.049254841,4.343805422,4.262679877,4.234106505,5.147494477,-3.526360525,7.167037877,7.325807503,5.429345629,6,0.507142857
96,105,57,1531,224,61,34,451,425,60,84,58,1611,36,474,447,242,165,1212,7.100027167,4.110873864,4.094344562,4.430816799,5.411646052,-3.526360525,7.167037877,7.384610383,5.488937726,6,0.416666667
97,106,56,1435,205,55,26,375,478,78,72,58,1519,28,397,506,178,163,1149,7.046647278,4.007333185,4.356708827,4.276666119,5.323009979,-3.258096538,6.66440902,7.325807503,5.18178355,5.291502622,0.52
98,107,74,1659,275,74,43,429,402,82,76,58,1757,46,454,426,234,154,1267,7.14440718,4.304065093,4.406719247,4.33073334,5.616771098,-3.761200116,7.657282793,7.471363088,5.455321115,6.782329983,0.518987342
99,108,70,1539,223,66,17,454,371,86,71.66666667,58,1640,18,484,395,222,160,1233,7.117205503,4.189654742,4.454347296,4.272025739,5.407171771,-2.833213344,5.780743516,7.402451521,5.402677382,4.242640687,0.545454545
100,109,63,1576,227,64,39,364,382,105,79.44444444,58,1658,41,383,402,243,137,1246,7.127693699,4.158883083,4.65396035,4.375057965,5.424950017,-3.663561646,7.427144133,7.413367336,5.493061443,6.403124237,0.569277108
101,110,53,1524,255,43,55,473,399,64,89.44444444,58,1614,58,501,422,204,149,1171,7.065613364,3.761200116,4.158883083,4.4936177,5.541263545,-4.007333185,8.120886021,7.386470849,5.318119994,7.615773106,0.417089066
102,111,59,1558,265,81,35,429,454,68,40.55555556,58,1639,37,451,478,215,154,1177,7.070724107,4.394449155,4.219507705,3.702672776,5.579729826,-3.555348061,7.221835825,7.401841579,5.370638028,6.08276253,0.626407369
103,112,74,1581,259,82,69,349,418,73,76.11111111,58,1663,73,367,440,187,176,1171,7.065613364,4.406719247,4.290459441,4.332194261,5.556828062,-4.234106505,8.580918882,7.416378479,5.231108617,8.544003745,0.489567809
104,113,67,1438,232,62,36,387,452,48,53.88888889,58,1513,38,407,475,176,148,1108,7.010311867,4.127134385,3.871201011,3.986924314,5.446737372,-3.583518938,7.275172319,7.321849714,5.170483995,6.164414003,0.471101418
105,114,81,1536,276,56,66,365,522,38,39.44444444,58,1616,69,384,549,160,153,1138,7.037027615,4.025351691,3.63758616,3.674893212,5.620400866,-4.189654742,8.468213009,7.387709239,5.075173815,8.306623863,0.490674319
106,115,87,1389,228,59,57,343,450,26,51.11111111,58,1461,60,361,473,137,156,1045,6.951772164,4.077537444,3.258096538,3.934001912,5.429345629,-4.043051268,8.188689124,7.286876412,4.919980926,7.745966692,0.337175793
107,116,84,1566,250,47,89,402,472,32,42.22222222,58,1680,95,431,506,181,129,1180,7.073269717,3.850147602,3.465735903,3.742946675,5.521460918,-4.48863637,9.107753783,7.426549072,5.198497031,9.746794345,0.431137725
108,117,40,1478,247,35,79,374,462,21,29.44444444,58,1565,84,396,489,209,107,1117,7.018401799,3.555348061,3.044522438,3.382505249,5.509388337,-4.369447852,8.861633598,7.355641103,5.342334252,9.16515139,0.416299559
109,118,75,1525,218,47,70,455,612,24,37.22222222,58,1604,74,479,644,199,184,1190,7.081708586,3.850147602,3.17805383,3.616905954,5.384495063,-4.248495242,8.608130186,7.380255788,5.293304825,8.602325267,0.392014519
110,119,84,1348,213,44,67,517,754,48,42.22222222,58,1437,71,551,804,167,136,1024,6.931471806,3.784189634,3.871201011,3.742946675,5.361292166,-4.204692619,8.525359754,7.270312886,5.117993812,8.426149773,0.532019704
111,121,68,1497,213,42,60,393,530,44,28,58,1606,64,422,569,194,191,1182,7.074963198,3.737669618,3.784189634,3.33220451,5.361292166,-4.094344562,8.317766167,7.381501895,5.267858159,8,0.611111111
112,122,69,1456,233,53,63,428,619,51,27,58,1552,67,456,660,195,180,1107,7.009408933,3.970291914,3.931825633,3.295836866,5.451038454,-4.143134726,8.409385239,7.347299701,5.272999559,8.185352772,0.653846154
113,124,65,1331,230,21,74,519,555,54,30,58,1457,81,568,608,152,151,1006,6.913737351,3.044522438,3.988984047,3.401197382,5.438079309,-4.304065093,8.788898309,7.284134806,5.023880521,9,0.642857143
114,125,72,1281.5,214,38,41,497,645,59,39,58,1360,43,526,683,188,147,988.5,6.896188643,3.63758616,4.077537444,3.663561646,5.365976015,-3.713572067,7.522400231,7.215239979,5.236441963,6.557438524,0.602040816
115,126,68,1366,263,41,83,480,535,39,59,58,1437,87,505,563,191,168,979,6.886531643,3.713572067,3.663561646,4.077537444,5.572154032,-4.418840608,8.931816237,7.270312886,5.252273428,9.327379053,0.397959184
116,127,71,1549,244,27,108,554,544,87,54,58,1651,115,590,580,206,171,1170,7.064759028,3.295836866,4.465908119,3.988984047,5.497168225,-4.682131227,9.489864257,7.409136444,5.327876169,10.72380529,0.617021277
117,128,86,1458,252,51,47,591,496,64,36,58,1544,50,626,525,179,137,1108,7.010311867,3.931825633,4.158883083,3.583518938,5.529429088,-3.850147602,7.824046011,7.342131731,5.187385806,7.071067812,0.64
118,129,90,1519,279,44,89,587,526,61,27,58,1598,94,617,553,161,130,1107,7.009408933,3.784189634,4.110873864,3.295836866,5.631211782,-4.48863637,9.086589565,7.376508126,5.081404365,9.695359715,0.693181818
