"","INDEX","P_TARGET_FLAG"
"353","1724","1"
"354","1725","1"
"355","1730","0"
"356","1731","1"
"357","1734","0"
"358","1740","0"
"359","1748","0"
"360","1749","0"
"361","1750","1"
"362","1763","0"
"363","1768","0"
"364","1773","1"
"365","1777","0"
"366","1778","0"
"367","1780","0"
"368","1782","0"
"369","1784","0"
"370","1786","0"
"371","1787","0"
"372","1792","0"
"373","1800","1"
"374","1801","0"
"375","1803","0"
"376","1804","1"
"377","1807","0"
"378","1818","0"
"379","1821","0"
"380","1822","0"
"381","1828","0"
"382","1833","0"
"383","1844","0"
"384","1847","0"
"385","1850","0"
"386","1854","1"
"387","1858","0"
"388","1864","0"
"389","1867","0"
"390","1876","1"
"391","1880","0"
"392","1881","0"
"393","1891","0"
"394","1894","0"
"395","1895","0"
"396","1901","0"
"397","1905","0"
"398","1912","0"
"399","1918","0"
"400","1921","0"
"401","1923","0"
"402","1924","0"
"403","1931","0"
"404","1941","0"
"405","1950","0"
"406","1951","0"
"407","1954","0"
"408","1961","1"
"409","1966","0"
"410","1979","0"
"411","1982","0"
"412","1987","1"
"413","1997","0"
"414","2004","0"
"415","2011","1"
"416","2015","0"
"417","2025","0"
"418","2033","0"
"419","2034","0"
"420","2035","0"
"421","2036","1"
"422","2053","1"
"423","2059","1"
"424","2060","0"
"425","2073","0"
"426","2084","1"
"427","2089","0"
"428","2092","0"
"429","2109","1"
"430","2129","0"
"431","2134","1"
"432","2135","0"
"433","2148","0"
"434","2149","0"
"435","2150","0"
"436","2165","1"
"437","2166","0"
"438","2168","0"
"439","2170","0"
"440","2171","0"
"441","2172","0"
"442","2176","0"
"443","2182","0"
"444","2189","0"
"445","2191","0"
"446","2197","0"
"447","2202","0"
"448","2203","0"
"449","2204","1"
"450","2206","1"
"451","2218","0"
"452","2219","0"
"453","2221","0"
"454","2226","0"
"455","2228","1"
"456","2232","1"
"457","2236","0"
"458","2241","1"
"459","2245","0"
"460","2251","0"
"461","2255","0"
"462","2256","0"
"463","2259","0"
"464","2263","0"
"465","2264","0"
"466","2267","0"
"467","2273","1"
"468","2277","1"
"469","2287","0"
"470","2289","0"
"471","2291","0"
"472","2296","1"
"473","2299","0"
"474","2306","0"
"475","2314","0"
"476","2317","0"
"477","2318","1"
"478","2321","1"
"479","2324","0"
"480","2340","1"
"481","2343","0"
"482","2349","0"
"483","2352","0"
"484","2353","0"
"485","2365","1"
"486","2370","1"
"487","2378","0"
"488","2390","1"
"489","2399","0"
"490","2402","1"
"491","2403","1"
"492","2404","0"
"493","2414","0"
"494","2422","0"
"495","2424","0"
"496","2430","1"
"497","2435","0"
"498","2439","0"
"499","2442","0"
"500","2445","1"
"501","2449","0"
"502","2451","0"
"503","2461","1"
"504","2464","0"
"505","2465","1"
"506","2472","0"
"507","2476","0"
"508","2482","0"
"509","2487","0"
"510","2498","0"
"511","2501","0"
"512","2504","0"
"513","2511","0"
"514","2518","0"
"515","2521","0"
"516","2530","0"
"517","2543","1"
"518","2545","1"
"519","2561","0"
"520","2566","1"
"521","2572","0"
"522","2577","0"
"523","2578","0"
"524","2580","0"
"525","2581","0"
"526","2582","0"
"527","2584","0"
"528","2590","0"
"529","2598","0"
"530","2602","0"
"531","2605","0"
"532","2616","0"
"533","2618","0"
"534","2619","0"
"535","2624","0"
"536","2632","0"
"537","2640","0"
"538","2646","0"
"539","2651","0"
"540","2660","0"
"541","2661","0"
"542","2668","0"
"543","2670","0"
"544","2680","0"
"545","2681","0"
"546","2689","0"
"547","2694","0"
"548","2695","1"
"549","2696","1"
"550","2702","0"
"551","2704","0"
"552","2708","0"
"553","2709","0"
"554","2714","1"
"555","2716","0"
"556","2723","0"
"557","2725","0"
"558","2738","0"
"559","2750","1"
"560","2756","0"
"561","2758","0"
"562","2766","0"
"563","2767","0"
"564","2771","0"
"565","2775","0"
"566","2776","0"
"567","2779","1"
"568","2780","1"
"569","2781","1"
"570","2782","1"
"571","2783","0"
"572","2796","0"
"573","2798","0"
"574","2800","0"
"575","2803","0"
"576","2806","0"
"577","2813","0"
"578","2818","0"
"579","2821","1"
"580","2825","0"
"581","2829","0"
"582","2830","1"
"583","2833","0"
"584","2839","1"
"585","2843","0"
"586","2846","0"
"587","2847","0"
"588","2848","0"
"589","2856","1"
"590","2863","1"
"591","2867","0"
"592","2869","0"
"593","2873","0"
"594","2874","0"
"595","2875","1"
"596","2880","1"
"597","2886","1"
"598","2887","0"
"599","2888","0"
"600","2889","1"
"601","2890","1"
"602","2892","0"
"603","2901","0"
"604","2902","0"
"605","2905","0"
"606","2917","0"
"607","2922","1"
"608","2924","0"
"609","2930","0"
"610","2931","0"
"611","2946","0"
"612","2955","0"
"613","2962","0"
"614","2964","0"
"615","2965","0"
"616","2967","0"
"617","2970","0"
"618","2973","1"
"619","2974","0"
"620","2976","1"
"621","2977","0"
"622","2978","0"
"623","2986","0"
"624","2988","0"
"625","2989","0"
"626","2995","1"
"627","3005","1"
"628","3011","0"
"629","3013","0"
"630","3019","1"
"631","3021","0"
"632","3022","0"
"633","3029","0"
"634","3037","0"
"635","3042","0"
"636","3043","0"
"637","3049","0"
"638","3050","1"
"639","3053","0"
"640","3058","0"
"641","3062","0"
"642","3063","1"
"643","3065","0"
"644","3080","0"
"645","3088","0"
"646","3093","1"
"647","3096","0"
"648","3101","0"
"649","3103","0"
"650","3107","0"
"651","3109","0"
"652","3111","0"
"653","3113","1"
"654","3116","0"
"655","3132","0"
"656","3141","0"
"657","3153","1"
"658","3154","0"
"659","3160","0"
"660","3167","0"
"661","3170","1"
"662","3173","1"
"663","3174","0"
"664","3177","0"
"665","3179","0"
"666","3184","1"
"667","3190","0"
"668","3193","0"
"669","3199","0"
"670","3201","0"
"671","3202","0"
"672","3203","1"
"673","3206","1"
"674","3209","0"
"675","3210","1"
"676","3217","0"
"677","3220","0"
"678","3228","0"
"679","3232","0"
"680","3239","0"
"681","3243","1"
"682","3245","0"
"683","3246","0"
"684","3251","0"
"685","3253","0"
"686","3257","0"
"687","3260","0"
"688","3261","0"
"689","3263","0"
"690","3278","0"
"691","3281","0"
"692","3283","0"
"693","3290","0"
"694","3297","0"
"695","3304","0"
"696","3305","0"
"697","3307","0"
"698","3308","0"
"699","3313","0"
"700","3314","0"
"701","3317","0"
"702","3348","0"
"703","3350","0"
"704","3359","0"
"705","3367","0"
"706","3376","0"
"707","3378","0"
"708","3384","1"
"709","3386","0"
"710","3387","0"
"711","3388","0"
"712","3390","0"
"713","3391","1"
"714","3396","0"
"715","3398","0"
"716","3404","0"
"717","3406","0"
"718","3407","0"
"719","3414","0"
"720","3419","0"
"721","3423","1"
"722","3427","0"
"723","3432","0"
"724","3434","0"
"725","3438","0"
"726","3442","0"
"727","3443","0"
"728","3448","0"
"729","3456","0"
"730","3464","0"
"731","3470","1"
"732","3475","1"
"733","3477","0"
"734","3490","0"
"735","3493","0"
"736","3502","1"
"737","3508","0"
"738","3516","0"
"739","3517","0"
"740","3525","0"
"741","3532","1"
"742","3535","0"
"743","3536","1"
"744","3540","0"
"745","3547","1"
"746","3550","1"
"747","3557","1"
"748","3562","0"
"749","3563","0"
"750","3564","0"
"751","3570","0"
"752","3573","0"
"753","3577","1"
"754","3579","1"
"755","3581","0"
"756","3587","0"
"757","3602","0"
"758","3609","0"
"759","3612","0"
"760","3621","0"
"761","3642","0"
"762","3647","1"
"763","3649","1"
"764","3654","1"
"765","3660","1"
"766","3665","1"
"767","3669","1"
"768","3673","0"
"769","3675","0"
"770","3678","0"
"771","3680","1"
"772","3686","1"
"773","3693","0"
"774","3710","1"
"775","3713","0"
"776","3718","0"
"777","3725","0"
"778","3726","0"
"779","3747","0"
"780","3753","0"
"781","3754","0"
"782","3760","1"
"783","3763","0"
"784","3765","0"
"785","3769","0"
"786","3771","1"
"787","3784","0"
"788","3787","0"
"789","3794","0"
"790","3796","0"
"791","3798","0"
"792","3809","0"
"793","3812","0"
"794","3819","0"
"795","3828","0"
"796","3831","0"
"797","3833","0"
"798","3837","1"
"799","3839","1"
"800","3843","1"
"801","3846","0"
"802","3854","0"
"803","3861","0"
"804","3864","1"
"805","3868","0"
"806","3869","0"
"807","3870","0"
"808","3883","0"
"809","3886","0"
"810","3889","0"
"811","3894","0"
"812","3907","0"
"813","3910","0"
"814","3913","0"
"815","3914","0"
"816","3921","0"
"817","3923","0"
"818","3929","1"
"819","3931","1"
"820","3932","0"
"821","3937","1"
"822","3943","0"
"823","3956","0"
"824","3957","1"
"825","3961","1"
"826","3971","0"
"827","4004","0"
"828","4005","0"
"829","4006","0"
"830","4011","0"
"831","4013","0"
"832","4014","0"
"833","4016","1"
"834","4017","0"
"835","4020","0"
"836","4022","0"
"837","4026","0"
"838","4032","0"
"839","4043","0"
"840","4045","1"
"841","4048","0"
"842","4051","0"
"843","4052","0"
"844","4056","0"
"845","4059","0"
"846","4069","0"
"847","4074","1"
"848","4076","0"
"849","4077","1"
"850","4079","1"
"851","4081","1"
"852","4088","0"
"853","4105","0"
"854","4125","0"
"855","4134","1"
"856","4139","0"
"857","4146","0"
"858","4149","0"
"859","4151","1"
"860","4155","0"
"861","4157","0"
"862","4168","1"
"863","4170","0"
"864","4174","0"
"865","4179","0"
"866","4185","0"
"867","4199","1"
"868","4205","0"
"869","4208","0"
"870","4211","1"
"871","4212","0"
"872","4215","1"
"873","4217","0"
"874","4219","1"
"875","4226","1"
"876","4227","0"
"877","4229","0"
"878","4231","0"
"879","4233","0"
"880","4237","1"
"881","4243","1"
"882","4248","0"
"883","4255","0"
"884","4262","0"
"885","4266","1"
"886","4268","0"
"887","4270","1"
"888","4273","0"
"889","4276","0"
"890","4277","0"
"891","4279","0"
"892","4299","0"
"893","4313","0"
"894","4322","0"
"895","4324","0"
"896","4328","0"
"897","4331","0"
"898","4335","0"
"899","4337","0"
"900","4338","0"
"901","4343","0"
"902","4347","0"
"903","4355","1"
"904","4357","0"
"905","4359","0"
"906","4362","0"
"907","4368","1"
"908","4374","0"
"909","4375","1"
"910","4378","1"
"911","4381","1"
"912","4387","0"
"913","4400","0"
"914","4423","0"
"915","4424","0"
"916","4428","1"
"917","4433","1"
"918","4436","1"
"919","4437","0"
"920","4439","1"
"921","4449","0"
"922","4456","0"
"923","4463","0"
"924","4467","0"
"925","4468","0"
"926","4469","0"
"927","4472","0"
"928","4473","0"
"929","4476","1"
"930","4500","0"
"931","4509","0"
"932","4513","1"
"933","4521","0"
"934","4527","0"
"935","4530","0"
"936","4532","1"
"937","4533","0"
"938","4535","0"
"939","4536","1"
"940","4542","0"
"941","4551","1"
"942","4554","0"
"943","4555","1"
"944","4564","0"
"945","4572","1"
"946","4573","0"
"947","4577","0"
"948","4579","0"
"949","4583","0"
"950","4584","1"
"951","4596","0"
"952","4599","0"
"953","4607","0"
"954","4609","1"
"955","4610","0"
"956","4616","1"
"957","4617","0"
"958","4633","0"
"959","4638","0"
"960","4641","0"
"961","4653","1"
"962","4655","0"
"963","4659","0"
"964","4669","0"
"965","4678","0"
"966","4685","1"
"967","4686","0"
"968","4691","0"
"969","4695","0"
"970","4698","0"
"971","4700","1"
"972","4711","0"
"973","4722","0"
"974","4727","1"
"975","4756","0"
"976","4762","0"
"977","4763","0"
"978","4766","0"
"979","4770","0"
"980","4784","0"
"981","4791","0"
"982","4795","0"
"983","4799","1"
"984","4802","1"
"985","4805","1"
"986","4814","1"
"987","4816","0"
"988","4817","0"
"989","4822","0"
"990","4827","1"
"991","4833","0"
"992","4836","0"
"993","4842","0"
"994","4844","0"
"995","4845","1"
"996","4849","0"
"997","4850","0"
"998","4860","0"
"999","4863","0"
"1000","4871","0"
"1001","4878","0"
"1002","4881","1"
"1003","4888","1"
"1004","4900","0"
"1005","4906","1"
"1006","4909","0"
"1007","4916","0"
"1008","4918","0"
"1009","4926","0"
"1010","4928","0"
"1011","4941","0"
"1012","4946","0"
"1013","4949","0"
"1014","4956","0"
"1015","4966","0"
"1016","4969","1"
"1017","4973","0"
"1018","4978","1"
"1019","4982","0"
"1020","4985","0"
"1021","4991","0"
"1022","4998","0"
"1023","5000","1"
"1024","5004","1"
"1025","5005","1"
"1026","5011","1"
"1027","5016","1"
"1028","5018","0"
"1029","5034","0"
"1030","5038","0"
"1031","5042","0"
"1032","5046","0"
"1033","5051","0"
"1034","5054","0"
"1035","5057","0"
"1036","5062","0"
"1037","5063","0"
"1038","5065","0"
"1039","5066","0"
"1040","5076","0"
"1041","5089","0"
"1042","5092","1"
"1043","5093","1"
"1044","5094","0"
"1045","5098","1"
"1046","5102","0"
"1047","5112","0"
"1048","5117","1"
"1049","5127","1"
"1050","5130","0"
"1051","5131","1"
"1052","5132","1"
"1053","5135","1"
"1054","5136","0"
"1055","5147","1"
"1056","5157","0"
"1057","5160","0"
"1058","5165","0"
"1059","5166","1"
"1060","5172","1"
"1061","5173","0"
"1062","5179","1"
"1063","5184","1"
"1064","5187","0"
"1065","5191","0"
"1066","5193","0"
"1067","5194","0"
"1068","5199","0"
"1069","5212","0"
"1070","5213","1"
"1071","5224","0"
"1072","5226","0"
"1073","5239","0"
"1074","5252","1"
"1075","5264","0"
"1076","5266","0"
"1077","5271","0"
"1078","5273","0"
"1079","5276","1"
"1080","5278","0"
"1081","5281","1"
"1082","5283","1"
"1083","5291","0"
"1084","5294","0"
"1085","5296","1"
"1086","5297","1"
"1087","5313","0"
"1088","5314","0"
"1089","5321","0"
"1090","5325","0"
"1091","5326","0"
"1092","5328","0"
"1093","5334","0"
"1094","5338","1"
"1095","5344","0"
"1096","5348","0"
"1097","5352","0"
"1098","5353","0"
"1099","5354","1"
"1100","5361","1"
"1101","5364","0"
"1102","5365","0"
"1103","5367","0"
"1104","5379","1"
"1105","5382","0"
"1106","5386","0"
"1107","5395","0"
"1108","5410","0"
"1109","5411","0"
"1110","5416","0"
"1111","5424","1"
"1112","5426","0"
"1113","5428","0"
"1114","5430","0"
"1115","5433","0"
"1116","5437","0"
"1117","5440","0"
"1118","5442","1"
"1119","5445","1"
"1120","5449","0"
"1121","5452","1"
"1122","5460","1"
"1123","5461","0"
"1124","5465","0"
"1125","5467","0"
"1126","5471","0"
"1127","5474","1"
"1128","5475","0"
"1129","5480","0"
"1130","5481","0"
"1131","5484","0"
"1132","5494","0"
"1133","5495","1"
"1134","5497","0"
"1135","5499","1"
"1136","5507","0"
"1137","5510","0"
"1138","5515","0"
"1139","5516","0"
"1140","5517","0"
"1141","5524","0"
"1142","5530","0"
"1143","5534","0"
"1144","5543","0"
"1145","5545","1"
"1146","5558","0"
"1147","5562","0"
"1148","5573","1"
"1149","5581","0"
"1150","5583","1"
"1151","5587","1"
"1152","5589","1"
"1153","5591","0"
"1154","5596","0"
"1155","5606","1"
"1156","5608","0"
"1157","5611","0"
"1158","5612","0"
"1159","5614","0"
"1160","5620","0"
"1161","5623","0"
"1162","5624","0"
"1163","5626","0"
"1164","5633","0"
"1165","5635","0"
"1166","5640","0"
"1167","5643","0"
"1168","5644","1"
"1169","5653","0"
"1170","5663","0"
"1171","5664","1"
"1172","5667","1"
"1173","5671","1"
"1174","5673","1"
"1175","5676","0"
"1176","5678","0"
"1177","5698","0"
"1178","5700","0"
"1179","5705","0"
"1180","5706","1"
"1181","5711","0"
"1182","5712","1"
"1183","5716","0"
"1184","5719","1"
"1185","5725","1"
"1186","5728","0"
"1187","5734","0"
"1188","5735","0"
"1189","5743","0"
"1190","5754","0"
"1191","5755","0"
"1192","5756","0"
"1193","5766","0"
"1194","5770","1"
"1195","5774","0"
"1196","5775","0"
"1197","5776","0"
"1198","5778","0"
"1199","5786","1"
"1200","5787","0"
"1201","5791","0"
"1202","5794","0"
"1203","5803","0"
"1204","5804","0"
"1205","5808","0"
"1206","5810","0"
"1207","5813","1"
"1208","5828","0"
"1209","5839","0"
"1210","5842","1"
"1211","5843","0"
"1212","5844","0"
"1213","5847","1"
"1214","5851","0"
"1215","5854","0"
"1216","5857","0"
"1217","5866","1"
"1218","5874","1"
"1219","5886","0"
"1220","5895","0"
"1221","5897","0"
"1222","5898","0"
"1223","5900","1"
"1224","5902","0"
"1225","5908","1"
"1226","5909","0"
"1227","5912","0"
"1228","5913","0"
"1229","5917","0"
"1230","5918","1"
"1231","5921","0"
"1232","5931","0"
"1233","5942","1"
"1234","5943","1"
"1235","5950","0"
"1236","5954","0"
"1237","5983","0"
"1238","5995","1"
"1239","6002","0"
"1240","6005","0"
"1241","6009","0"
"1242","6011","0"
"1243","6012","0"
"1244","6019","0"
"1245","6021","0"
"1246","6029","1"
"1247","6036","0"
"1248","6037","0"
"1249","6038","0"
"1250","6043","0"
"1251","6045","0"
"1252","6047","1"
"1253","6048","0"
"1254","6061","0"
"1255","6063","0"
"1256","6064","0"
"1257","6068","1"
"1258","6069","0"
"1259","6070","1"
"1260","6071","0"
"1261","6074","0"
"1262","6079","0"
"1263","6082","0"
"1264","6088","1"
"1265","6094","0"
"1266","6095","0"
"1267","6098","1"
"1268","6102","0"
"1269","6105","1"
"1270","6113","0"
"1271","6116","0"
"1272","6120","0"
"1273","6121","0"
"1274","6126","0"
"1275","6144","0"
"1276","6145","0"
"1277","6153","0"
"1278","6156","0"
"1279","6159","0"
"1280","6162","0"
"1281","6184","1"
"1282","6188","0"
"1283","6189","0"
"1284","6191","1"
"1285","6211","1"
"1286","6216","0"
"1287","6218","1"
"1288","6222","0"
"1289","6235","0"
"1290","6245","0"
"1291","6248","1"
"1292","6253","0"
"1293","6256","0"
"1294","6257","1"
"1295","6259","0"
"1296","6266","0"
"1297","6268","0"
"1298","6275","0"
"1299","6280","1"
"1300","6283","1"
"1301","6288","0"
"1302","6289","0"
"1303","6301","0"
"1304","6308","0"
"1305","6314","0"
"1306","6315","0"
"1307","6316","1"
"1308","6317","1"
"1309","6318","0"
"1310","6323","1"
"1311","6329","1"
"1312","6336","0"
"1313","6341","1"
"1314","6348","0"
"1315","6349","0"
"1316","6365","0"
"1317","6372","0"
"1318","6376","0"
"1319","6378","0"
"1320","6379","1"
"1321","6382","0"
"1322","6383","1"
"1323","6389","1"
"1324","6390","0"
"1325","6392","0"
"1326","6394","1"
"1327","6402","0"
"1328","6404","0"
"1329","6405","0"
"1330","6406","0"
"1331","6409","0"
"1332","6410","0"
"1333","6411","0"
"1334","6421","0"
"1335","6428","0"
"1336","6429","0"
"1337","6432","0"
"1338","6436","0"
"1339","6437","0"
"1340","6438","0"
"1341","6445","0"
"1342","6447","1"
"1343","6450","0"
"1344","6462","0"
"1345","6467","1"
"1346","6478","0"
"1347","6484","0"
"1348","6492","1"
"1349","6497","0"
"1350","6504","0"
"1351","6505","0"
"1352","6513","1"
"1353","6525","0"
"1354","6526","0"
"1355","6528","0"
"1356","6540","0"
"1357","6542","0"
"1358","6544","1"
"1359","6548","0"
"1360","6552","0"
"1361","6558","0"
"1362","6567","0"
"1363","6569","1"
"1364","6572","0"
"1365","6577","0"
"1366","6581","0"
"1367","6588","1"
"1368","6591","1"
"1369","6594","0"
"1370","6600","1"
"1371","6602","0"
"1372","6604","0"
"1373","6605","0"
"1374","6614","0"
"1375","6616","0"
"1376","6621","1"
"1377","6640","0"
"1378","6641","0"
"1379","6643","0"
"1380","6644","0"
"1381","6649","1"
"1382","6650","1"
"1383","6655","1"
"1384","6661","0"
"1385","6672","0"
"1386","6677","0"
"1387","6688","0"
"1388","6689","0"
"1389","6691","0"
"1390","6692","1"
"1391","6694","1"
"1392","6702","1"
"1393","6714","0"
"1394","6716","1"
"1395","6724","0"
"1396","6725","0"
"1397","6730","0"
"1398","6735","1"
"1399","6738","0"
"1400","6739","0"
"1401","6743","0"
"1402","6747","0"
"1403","6750","1"
"1404","6751","1"
"1405","6753","0"
"1406","6754","0"
"1407","6755","0"
"1408","6762","0"
"1409","6764","0"
"1410","6772","1"
"1411","6774","0"
"1412","6787","0"
"1413","6789","0"
"1414","6793","0"
"1415","6798","0"
"1416","6799","0"
"1417","6800","0"
"1418","6802","0"
"1419","6808","1"
"1420","6809","0"
"1421","6812","0"
"1422","6814","1"
"1423","6816","1"
"1424","6822","0"
"1425","6829","0"
"1426","6834","1"
"1427","6836","0"
"1428","6839","0"
"1429","6840","1"
"1430","6843","0"
"1431","6846","0"
"1432","6848","0"
"1433","6852","0"
"1434","6856","0"
"1435","6860","0"
"1436","6866","1"
"1437","6870","1"
"1438","6878","1"
"1439","6880","0"
"1440","6885","0"
"1441","6897","0"
"1442","6902","1"
"1443","6904","1"
"1444","6907","0"
"1445","6909","0"
"1446","6914","1"
"1447","6915","1"
"1448","6922","0"
"1449","6924","0"
"1450","6933","0"
"1451","6934","0"
"1452","6941","0"
"1453","6957","0"
"1454","6960","0"
"1455","6969","0"
"1456","6975","0"
"1457","6980","1"
"1458","6983","0"
"1459","6987","0"
"1460","6994","0"
"1461","6997","0"
"1462","7002","0"
"1463","7010","0"
"1464","7015","0"
"1465","7019","0"
"1466","7022","0"
"1467","7025","0"
"1468","7029","0"
"1469","7031","0"
"1470","7037","0"
"1471","7038","0"
"1472","7043","0"
"1473","7049","0"
"1474","7052","0"
"1475","7053","0"
"1476","7056","0"
"1477","7057","1"
"1478","7080","0"
"1479","7086","0"
"1480","7087","0"
"1481","7105","0"
"1482","7108","0"
"1483","7121","1"
"1484","7122","0"
"1485","7125","1"
"1486","7132","0"
"1487","7134","0"
"1488","7151","0"
"1489","7152","1"
"1490","7157","0"
"1491","7159","0"
"1492","7166","1"
"1493","7167","0"
"1494","7177","0"
"1495","7179","1"
"1496","7181","0"
"1497","7183","0"
"1498","7186","0"
"1499","7193","0"
"1500","7205","0"
"1501","7207","0"
"1502","7209","1"
"1503","7216","0"
"1504","7232","1"
"1505","7235","0"
"1506","7238","0"
"1507","7240","1"
"1508","7243","0"
"1509","7252","0"
"1510","7269","0"
"1511","7275","0"
"1512","7281","0"
"1513","7283","0"
"1514","7287","0"
"1515","7289","0"
"1516","7291","1"
"1517","7294","0"
